ref,damage_ref,path,gpkg_layer,asset_id_column,asset_type_column,asset_min_cost_column,asset_max_cost_column,asset_mean_cost_column,asset_reopen_cost_column,asset_cost_unit_column,asset_reopen_cost_unit_column,coastal_asset_damage_lookup_column,fluvial_asset_damage_lookup_column,surface_asset_damage_lookup_column,cyclone_asset_damage_lookup_column,single_failure_scenarios,base_id
transport_rail_nodes,rail_nodes,transport/rail.gpkg,nodes,node_id,asset_type,min_damage_cost,max_damage_cost,mean_damage_cost,,cost_unit,,asset_type,asset_type,asset_type,,economic_losses/single_failure_scenarios/single_point_failure_rail_stations_economic_losses.csv,0
transport_rail_edges,rail_edges,transport/rail.gpkg,edges,edge_id,,min_damage_cost,max_damage_cost,mean_damage_cost,,cost_unit,,asset_type,asset_type,asset_type,,economic_losses/single_failure_scenarios/single_point_failure_road_rail_edges_economic_losses.csv,100000000
transport_air,airport_polygon_areas,transport/airport_polygon.gpkg,areas,node_id,asset_type,maximum_damage_lower,maximum_damage_upper,maximum_damage,,unit,,asset_type,asset_type,asset_type,asset_type,economic_losses/single_failure_scenarios/single_point_failure_airports_economic_losses.csv,200000000
transport_port,port_polygon_areas,transport/port_polygon.gpkg,areas,node_id,asset_type,maximum_damage_lower,maximum_damage_upper,maximum_damage,,unit,,asset_type,asset_type,asset_type,none,economic_losses/single_failure_scenarios/single_point_failure_ports_economic_losses.csv,300000000
water_irrigation_nodes,irrigation_assets_NIC_nodes,water/irrigation_assets_NIC.gpkg,nodes,node_id,asset_type,min_damage_cost,max_damage_cost,,,cost_unit,,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,economic_losses/single_failure_scenarios/single_point_failure_irrigation_nodes_economic_losses.csv,400000000
water_irrigation_edges,irrigation_assets_NIC_edges,water/irrigation_assets_NIC.gpkg,edges,edge_id,asset_type,min_damage_cost,max_damage_cost,,,cost_unit,,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,economic_losses/single_failure_scenarios/single_point_failure_irrigation_edges_economic_losses.csv,500000000
water_potable_nodes,potable_facilities_NWC_nodes,water/potable_facilities_NWC.gpkg,nodes,node_id,asset_type,min_damage_cost,max_damage_cost,,,cost_unit,,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,economic_losses/single_failure_scenarios/single_point_failure_potable_facilities_economic_losses.csv,600000000
water_wastewater_nodes,waste_water_facilities_NWC_nodes,water/waste_water_facilities_NWC.gpkg,nodes,node_id,asset_type,min_damage_cost,max_damage_cost,,,cost_unit,,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,,700000000
water_pipelines,pipelines_NWC_edges,water/pipelines_NWC.gpkg,edges,edge_id,asset_type,min_damage_cost,max_damage_cost,,,cost_unit,,asset,asset,asset,,economic_losses/single_failure_scenarios/single_point_failure_potable_pipelines_economic_losses.csv,800000000
roads_nodes,roads_nodes,transport/roads.gpkg,nodes,node_id,asset_type,min_damage_cost,max_damage_cost,mean_damage_cost,reopen_cost,cost_unit,reopen_cost_unit,asset_type,asset_type,asset_type,,economic_losses/single_failure_scenarios/single_point_failure_road_bridges_economic_losses.csv,900000000
roads_edges,roads_edges,asset/transport/road/edge.gpq,,id,tag_highway,min_damage_cost,max_damage_cost,mean_damage_cost,reopen_cost,cost_unit,reopen_cost_unit,asset_type,asset_type,asset_type,,economic_losses/single_failure_scenarios/single_point_failure_road_rail_edges_economic_losses.csv,1000000000
energy_edges,energy_edges,asset/energy/transmission/edge.gpq,,asset_id,source,min_damage_cost,max_damage_cost,mean_damage_cost,reopen_cost,cost_unit,reopen_cost_unit,asset_type,asset_type,asset_type,,economic_losses/single_failure_scenarios/single_point_failure_road_bridges_economic_losses.csv,900000000
energy_nodes,energy_edges,asset/energy/transmission/node.gpq,,asset_id,asset_type,min_damage_cost,max_damage_cost,mean_damage_cost,reopen_cost,cost_unit,reopen_cost_unit,asset_type,asset_type,asset_type,,economic_losses/single_failure_scenarios/single_point_failure_road_rail_edges_economic_losses.csv,1000000000
buildings,buildings_assigned_economic_activity_areas,buildings/buildings_assigned_economic_activity.gpkg,areas,osm_id,building_type,min_damage_cost,max_damage_cost,mean_damage_cost,,cost_unit,,building_type,building_type,building_type,none,buildings/buildings_assigned_economic_activity.gpkg,1300000000
